panel,estimator,outcome,bootstrap_reps,coef,stderr,tstat,normal_approx_p,normal_ci_lower,normal_ci_upper
five_digit,dripw,l_ship,999,.83784425,.16949315,4.943233601708665,7.68373216831e-07,.5056437757253207,1.170044729447409
five_digit,reg,l_ship,0,.82348442,.18459125,4.461123844610816,8.15309541835e-06,.4616922215973931,1.185276619955341
four_digit,dripw,l_ship,999,.59230345,.21190928,2.795080314726309,.0051886823004139,.176968899600681,1.007638010151211
four_digit,reg,l_ship,0,.54524899,.22231418,2.452605532770678,.0141825770781248,.1095212013084119,.9809767692726428
