var,coef,stderr,ci_lower,ci_upper,N,r2,outcome,command,year
1.hci#1970.year,.2016491,.17786478,-.1484892795873969,.5517874787641852,4726,.7826110440520611,l_costs,reghdfe,1970
1.hci#1971.year,.067035861,.18131633,-.2898971302955011,.4239688529221872,4726,.7826110440520611,l_costs,reghdfe,1971
1o.hci#1972b.year,0,0,0,0,4726,.7826110440520611,l_costs,reghdfe,1972
1.hci#1973.year,.47625005,.16936779,.1428385406311848,.8096615642729901,4726,.7826110440520611,l_costs,reghdfe,1973
1.hci#1974.year,.46171772,.14904381,.1683152834583218,.755120166141898,4726,.7826110440520611,l_costs,reghdfe,1974
1.hci#1975.year,.78754431,.32828903,.1412859966089866,1.433802623576865,4726,.7826110440520611,l_costs,reghdfe,1975
1.hci#1976.year,.92825282,.38090283,.1784208253063516,1.678084807094161,4726,.7826110440520611,l_costs,reghdfe,1976
1.hci#1977.year,1.1976606,.379444,.4507003637894439,1.94462076696312,4726,.7826110440520611,l_costs,reghdfe,1977
1.hci#1978.year,1.2820895,.37070948,.5523237493659042,2.011855194268129,4726,.7826110440520611,l_costs,reghdfe,1978
1.hci#1979.year,1.4477592,.3902438,.6795388501602744,2.215979452757206,4726,.7826110440520611,l_costs,reghdfe,1979
1.hci#1980.year,1.2295885,.37468889,.4919890494683337,1.96718796774358,4726,.7826110440520611,l_costs,reghdfe,1980
1.hci#1981.year,1.1347163,.37056768,.4052296913437291,1.864202853364523,4726,.7826110440520611,l_costs,reghdfe,1981
1.hci#1982.year,1.1770076,.38348979,.4220829644750457,1.931932147448172,4726,.7826110440520611,l_costs,reghdfe,1982
1.hci#1983.year,1.1358349,.38229042,.3832713681925684,1.888398496461973,4726,.7826110440520611,l_costs,reghdfe,1983
1.hci#1984.year,1.3635846,.38553518,.6046335570088142,2.122535718275,4726,.7826110440520611,l_costs,reghdfe,1984
1.hci#1985.year,1.2819656,.41111556,.4726578979030466,2.0912733288273,4726,.7826110440520611,l_costs,reghdfe,1985
