var,coef,stderr,tstat,pval,ci_lower,ci_upper,N,panel,estimator,outcome,bootstrap_reps
Tp7,.98802131,.23000072,4.29573140728005,.0000174118298322,.5372281876468303,1.438814440641439,4046,five_digit,reg,l_ship,0
Tp8,.96533424,.22573516,4.276401807928401,.0000189938275288,.5229014574301258,1.407767015813588,4046,five_digit,reg,l_ship,0
Tp9,.91203779,.23993137,3.80124437925806,.0001439712178155,.4417809364754061,1.382294643167843,4046,five_digit,reg,l_ship,0
Tp10,.96091908,.27280253,3.522397963497738,.0004276616339645,.4262359451037716,1.495602219225757,4046,five_digit,reg,l_ship,0
Tp11,.99660438,.26261252,3.794961400683219,.0001476664278326,.481893298671668,1.511315467311914,4046,five_digit,reg,l_ship,0
Tp12,1.0307614,.31346554,3.288276521421337,.0010080277801459,.4163802008717703,1.645142521372492,4046,five_digit,reg,l_ship,0
Tp13,1.198998,.29687122,4.038781509926621,.0000537295832981,.6171410847431975,1.780854864048306,4046,five_digit,reg,l_ship,0
Pre_avg,-.08694496,.08467184,-1.026846233460062,.3044928751081912,-.25289871710296,.0790087969874891,4046,five_digit,dripw,l_ship,999
Post_avg,.83784425,.16949315,4.943233601708665,7.68373216831e-07,.5056437757253207,1.170044729447409,4046,five_digit,dripw,l_ship,999
Tm2,-.16608483,.16808122,-.988122421261483,.3230926961982241,-.4955179714407895,.163348319455621,4046,five_digit,dripw,l_ship,999
Tm1,-.007805096,.18180326,-.0429315521928822,.9657560969169967,-.3641329305532459,.3485227385821823,4046,five_digit,dripw,l_ship,999
Tp0,.45139396,.19307108,2.337967740598533,.0193889216719088,.0729815942708722,.829806329541994,4046,five_digit,dripw,l_ship,999
Tp1,.61309659,.17060725,3.593613874924133,.0003261230210343,.2787125216473479,.9474806679736237,4046,five_digit,dripw,l_ship,999
Tp2,.39001527,.20651464,1.888559916062984,.0589508223243431,-.0147459856133636,.7947765341859039,4046,five_digit,dripw,l_ship,999
Tp3,.48561651,.25314099,1.91836380542411,.055064897132665,-.0105307103577609,.9817637206498142,4046,five_digit,dripw,l_ship,999
Tp4,.68543726,.22661673,3.02465434126046,.0024891743049453,.2412766421257068,1.129597881990809,4046,five_digit,dripw,l_ship,999
Tp5,.81431568,.21447578,3.796772176022248,.0001465923971775,.393950870911099,1.234680482467197,4046,five_digit,dripw,l_ship,999
Tp6,1.1279378,.22888654,4.927934034690432,8.31036629290e-07,.6793284095651755,1.576547177898203,4046,five_digit,dripw,l_ship,999
Tp7,.99092835,.22150205,4.473675744719841,7.68863086442e-06,.556792309892837,1.425064393865403,4046,five_digit,dripw,l_ship,999
Tp8,.98275965,.20674856,4.753405074185236,2.00019036756e-06,.577539922927283,1.387979386116601,4046,five_digit,dripw,l_ship,999
Tp9,.92411506,.21875769,4.224377510970275,.0000239602124421,.4953578699803499,1.352872253539548,4046,five_digit,dripw,l_ship,999
Tp10,.99122667,.25769404,3.846525474173788,.0001198046798279,.4861556439891669,1.496297702263274,4046,five_digit,dripw,l_ship,999
Tp11,1.0094228,.24614607,4.100909624027678,.0000411529271869,.526985350912279,1.491860207254225,4046,five_digit,dripw,l_ship,999
Tp12,1.053097,.28784919,3.658502626049115,.0002536931419383,.4889229684918429,1.617271050825784,4046,five_digit,dripw,l_ship,999
Tp13,1.2104573,.28096259,4.308250932905085,.0000164550636876,.659780774628796,1.761133875334583,4046,five_digit,dripw,l_ship,999
